Dates,Region,Pollster,Sample,Voter_Type,Pollster_Grade,Biden,Sanders,Harris,Warren,Buttigieg,Booker,Yang,de Blasio,Williamson,O'Rourke,Delaney,Castro,Gabbard,Klobuchar,Steyer,Poll_End_Date,Cell,Landline,Text,Online,Mail,Methodology Details,Methodology URL
"Sep 8-10, 2019",National,YouGov,632,LV,B,24,17,6,24,5,2,2,1,2,1,1,2,1,1,0,9/10/2019,,,,1,,,
"Sep 5-9, 2019",National,CNN/SSRS,908,RV,A-,24,17,8,18,6,2,2,1,1,5,0,1,2,1,1,9/9/2019,1051,588,,0,,,
"Sep 7-8, 2019",National,HarrisX,454,RV,C+,27,15,7,12,4,3,5,0,0,3,1,2,1,1,1,9/8/2019,,,,1,,,
"Sep 2-8, 2019",National,Morning Consult,"17,824",LV,B-,33,21,7,16,5,3,3,1,1,3,1,1,1,1,1,9/8/2019,,,,1,,,
"Aug 12-Sep 8, 2019",National,USC Dornsife/LA Times,"2,462",LV,C,28,13,8,11,4,2,2,0,0,3,0,0,1,1,0,9/8/2019,,,,0,1,,
"Sep 4-7, 2019",National,HarrisX,"1,350",RV,C+,26,17,7,13,5,2,2,1,0,4,0,2,0,1,1,9/7/2019,,,,1,,,
"Sep 2-5, 2019",National,ABC News/Washington Post,437,A,A+,27,19,7,17,4,1,3,1,0,3,1,0,1,1,0,9/5/2019,652,351,,0,,"Interviews in English and Spanish ...  Interviewers called landlines and cellular phone numbers, first requesting to speak with the youngest adult male or female at home ...  The overall adult sample is weighted to correct for differential probabilities of selection among individuals who are landline-only, cell phone-only or dual users.",https://www.washingtonpost.com/context/sept-2-5-2019-washington-post-abc-news-poll/d4e18b36-79bf-492d-91e3-d1c7a49d37e2/
"Aug 31-Sep 3, 2019",National,HarrisX,"1,346",RV,C+,28,18,5,11,5,1,2,1,1,3,0,1,2,1,1,9/3/2019,,,,1,,,
"Sep 1-3, 2019",National,YouGov,518,LV,B,26,14,5,21,6,1,3,2,1,1,1,2,3,0,0,9/3/2019,,,,1,,,
"Aug 26-Sep 1, 2019",National,Morning Consult,"16,736",LV,B-,32,20,8,16,5,3,3,0,1,3,1,1,1,1,1,9/1/2019,,,,1,,,
"Aug 27-30, 2019",National,HarrisX,"1,331",RV,C+,31,14,7,11,3,3,2,1,1,4,1,1,1,1,1,8/30/2019,,,,1,,,
"Aug 23-30, 2019",National,HarrisX,"3,114",RV,C+,31,15,6,11,3,3,2,1,1,3,1,2,1,1,1,8/30/2019,,,,1,,,
"Aug 22-30, 2019",National,IBD/TIPP,360,RV,A-,28,12,6,24,5,4,1,0,0,0,0,1,0,1,0,8/30/2019,683,220,,0,,Live interviewers calling a random sample of cellular and landline telephones in the United States,https://www.washingtonpost.com/news/the-fix/wp/2016/10/25/why-the-pollster-who-has-trump-and-clinton-tied-says-he-isnt-worried-about-his-results/
"Aug 28-29, 2019",National,Claster Consulting,752,LV,Missing,22,19,5,14,3,3,2,-1,1,2,-1,1,-1,2,0,8/29/2019,,,,1,,,
"Aug 26-28, 2019",National,Harris Interactive,985,RV,C+,32,16,7,13,4,3,2,-1,0,4,1,1,1,1,1,8/28/2019,,,,1,,,
"Aug 24-27, 2019",National,YouGov,570,LV,B,24,14,8,20,5,1,2,1,1,2,0,2,2,1,1,8/27/2019,,,,1,,,
"Aug 23-26, 2019",National,Change Research,874,LV,C+,19,22,6,29,9,3,2,0,1,3,0,2,2,1,1,8/26/2019,,,,1,," Recruit fresh participants online for each and every poll ... proprietary, patent-pending approaches to recruit participants, and we don't use online panels of habitual survey takers",https://www.changeresearch.com/methodology-and-accuracy
"Aug 24-26, 2019",National,Emerson College,627,LV,B+,31,24,10,15,3,3,4,0,0,2,0,1,3,1,0,8/26/2019,0,955,,503,,"Automated system that collects data over landline phones with an online panel of participants ... random sample of registered voters or all citizens depending on the needs of the survey are purchased from Aristotle Inc., a leading supplier of phone lists to the survey research industry, and Amazon Turk, an online panel of individuals",http://emersonpolling.com/about-us/
"Aug 23-26, 2019",National,HarrisX,"1,341",RV,C+,31,16,5,10,4,3,3,1,0,3,1,2,1,1,1,8/26/2019,,,,1,,,
"Aug 21-26, 2019",National,Quinnipiac University,648,RV,A-,32,15,7,19,5,1,3,1,1,1,0,0,1,1,0,8/26/2019,Unclear,Unclear,,0,,"Randomly selected sample of about 1,000 registered voters is interviewed",https://www.qu.edu/info-for/media/quinnipiac-university-poll-detail.html#ourmethodology
"Aug 19-25, 2019",National,Morning Consult,"17,303",LV,B-,33,20,8,15,5,3,2,1,1,3,1,1,1,1,1,8/25/2019,,,,1,,,
"Aug 20-25, 2019",National,Suffolk University,424,LV,B+,32,12,6,14,6,2,3,0,0,2,0,1,0,0,0,8/25/2019,877,123,,0,,,
"Aug 23-24, 2019",National,HarrisX,465,RV,C+,30,17,4,14,4,2,2,0,1,3,0,1,1,1,1,8/24/2019,,,,1,,,
"Aug 19-22, 2019",National,HarrisX,"1,356",RV,C+,28,17,7,10,4,2,2,0,1,3,0,1,1,1,1,8/22/2019,,,,1,,,
"Aug 19-21, 2019",National,Echelon Insights,479,RV,Missing,30,19,11,11,3,4,1,0,0,4,0,0,1,0,0,8/21/2019,,,,1,,,
"Aug 16-20, 2019",National,Monmouth University,298,RV,A+,19,20,8,20,4,4,3,1,2,2,0,2,1,1,0,8/20/2019,486,314,,0,,Registered voters who identify themselves as Democrats or lean toward the Democratic Party. Telephone numbers were selected through random digit dialing and landline respondents were selected with a modified Troldahl-Carter youngest adult household screen,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_082619.pdf/
"Aug 17-20, 2019",National,YouGov,559,LV,B,22,19,8,17,7,2,1,1,0,3,0,1,2,0,0,8/20/2019,,,,1,,,
"Aug 15-18, 2019",National,CNN/SSRS,402,RV,A-,29,15,5,14,5,2,1,0,0,3,0,2,2,1,1,8/18/2019,650,351,,0,,Interviews were conducted in English and Spanish,https://cdn.cnn.com/cnn/2019/images/08/19/rel9a.-.democrats.2020.pdf
"Aug 15-18, 2019",National,HarrisX,"1,350",RV,C+,26,17,8,10,4,2,2,1,1,4,0,1,1,1,1,8/18/2019,,,,1,,,
"Aug 12-18, 2019",National,Morning Consult,"17,115",LV,B-,31,20,9,15,5,3,3,0,1,3,1,1,1,1,1,8/18/2019,,,,1,,,
"Aug 11-14, 2019",National,HarrisX,"1,342",RV,C+,29,14,7,11,3,2,3,1,0,4,1,1,1,1,1,8/14/2019,,,,1,,,
"Aug 11-13, 2019",National,Fox News,483,LV,A,31,10,8,20,3,3,3,1,1,2,1,1,1,2,1,8/13/2019,791,222,,0,,Phone numbers for each state are proportional to the number of voters in each state,https://www.foxnews.com/politics/fox-news-poll-8-15
"Aug 10-13, 2019",National,YouGov,592,LV,B,21,16,8,20,5,2,1,0,1,5,0,1,2,1,1,8/13/2019,,,,1,,,
"Aug 5-11, 2019",National,Morning Consult,"17,117",LV,B-,33,20,9,14,5,3,2,0,1,3,1,1,1,1,1,8/11/2019,,,,1,,,
"Aug 9-10, 2019",National,HarrisX,451,RV,C+,31,16,7,10,4,1,1,0,2,4,1,2,1,2,1,8/10/2019,,,,1,,,
"Aug 7-10, 2019",National,HarrisX,"1,350",RV,C+,31,15,7,9,5,2,2,1,0,4,0,1,1,1,1,8/10/2019,,,,1,,,
"Aug 3-6, 2019",National,HarrisX,"1,319",RV,C+,25,17,8,11,3,3,1,1,1,4,0,2,1,1,1,8/6/2019,,,,1,,,
"Aug 3-6, 2019",National,YouGov,573,LV,B,22,13,8,16,8,1,2,1,0,2,1,1,3,0,1,8/6/2019,,,,1,,,
"Aug 1-5, 2019",National,Ipsos,"1,023",RV,B+,25,20,7,10,5,3,2,1,0,2,0,1,1,1,0,8/5/2019,,,,1,,,
"Aug 1-5, 2019",National,Quinnipiac University,807,RV,A-,32,14,7,21,5,2,1,0,0,2,0,1,1,1,0,8/5/2019,Unclear,Unclear,,0,,,
"Aug 1-5, 2019",National,SurveyUSA,999,LV,A,33,20,9,19,8,1,0,0,0,1,0,0,0,1,0,8/5/2019,,,,1,,,
"Aug 2-4, 2019",National,Change Research,"1,450",LV,C+,23,23,7,26,9,2,2,0,0,2,0,1,2,1,0,8/4/2019,,,,1,,,
"Aug 1-4, 2019",National,Morning Consult,"9,845",LV,B-,33,19,9,15,6,3,2,0,1,3,1,1,1,1,1,8/4/2019,,,,1,,,
"Jul 22-Aug 4, 2019",National,Pew Research Center,"1,757",RV,B-,26,12,11,16,5,1,1,-1,-1,1,-1,1,-1,1,-1,8/4/2019,,,,1,,,
"Aug 1-4, 2019",National,Public Policy Polling*,588,V,B,36,12,10,13,4,4,2,-1,-1,1,-1,1,-1,2,-1,8/4/2019,Unclear,,,Unclear,,Democratic primary voters,https://www.publicpolicypolling.com/wp-content/uploads/2019/08/NationalPollMemoAugust2019.pdf
"Jul 30-Aug 2, 2019",National,HarrisX,"1,350",RV,C+,29,17,8,9,4,3,2,0,1,3,1,1,2,1,1,8/2/2019,,,,1,,,
"Jul 31-Aug 1, 2019",National,Harris Interactive,585,RV,C+,34,17,9,8,4,2,1,-1,0,3,0,1,0,1,1,8/1/2019,,,,1,,,
"Jul 25-Aug 1, 2019",National,IBD/TIPP,350,RV,A-,30,12,11,17,6,2,0,0,0,1,0,0,1,1,-1,8/1/2019,710,192,,0,,,
1-Aug-19,National,Morning Consult,"2,419",LV,B-,32,18,10,15,6,3,2,0,1,3,1,1,1,1,1,8/1/2019,,,,1,,,
31-Jul-19,National,Morning Consult,"2,410",LV,B-,34,19,10,14,6,3,1,0,1,2,1,1,1,1,1,7/31/2019,,,,1,,,
"Jul 28-30, 2019",National,HarrisX,868,RV,C+,30,15,8,8,3,2,1,1,0,3,0,2,0,1,1,7/30/2019,,,,1,,,
30-Jul-19,National,Morning Consult,"2,485",LV,B-,35,18,12,13,5,3,2,1,0,2,1,1,1,1,1,7/30/2019,,,,1,,,
"Jul 27-30, 2019",National,YouGov,629,LV,B,26,13,10,18,5,2,1,1,0,2,1,2,2,1,0,7/30/2019,,,,1,,,
"Jul 27-29, 2019",National,Emerson College,520,LV,B+,33,20,11,14,6,0,2,1,0,4,1,1,1,0,2,7/29/2019,0,794,,439,,,
29-Jul-19,National,Morning Consult,"2,503",LV,B-,34,18,11,14,5,2,1,0,1,3,0,1,1,1,1,7/29/2019,,,,1,,,
"Jul 18-28, 2019",National,GQR Research,471,LV,B-,31,22,12,15,8,1,1,0,0,2,0,0,1,2,-1,7/28/2019,Unclear,Unclear,,0,,Unclear,
"Jul 27-28, 2019",National,HarrisX,444,RV,C+,34,20,9,12,5,1,1,0,0,4,1,1,0,1,1,7/28/2019,,,,1,,,
"Jul 23-28, 2019",National,McLaughlin & Associates,468,LV,C-,28,15,10,9,3,3,2,1,1,4,1,1,1,0,1,7/28/2019,,,,1,,,
"Jul 22-28, 2019",National,Morning Consult,"16,959",LV,B-,33,18,12,13,5,3,2,1,1,3,1,1,1,1,1,7/28/2019,,,,1,,,
28-Jul-19,National,Morning Consult,"2,408",LV,B-,34,18,12,14,5,2,2,0,0,3,0,1,1,1,1,7/28/2019,,,,1,,,
"Jul 25-28, 2019",National,Quinnipiac University,579,RV,A-,34,11,12,15,6,1,2,0,1,2,0,0,1,1,0,7/28/2019,Unclear,Unclear,,0,,,
"Jul 23-27, 2019",National,Echelon Insights,510,RV,Missing,33,14,11,10,5,1,1,0,0,3,0,1,2,0,0,7/27/2019,,,,1,,,
27-Jul-19,National,Morning Consult,"2,345",LV,B-,34,19,11,14,4,2,2,0,1,3,0,1,1,1,1,7/27/2019,,,,1,,,
"Jul 23-26, 2019",National,Change Research,"1,204",LV,C+,20,20,15,22,9,1,3,0,0,2,0,1,2,3,0,7/26/2019,,,,1,,,
26-Jul-19,National,Morning Consult,"2,345",LV,B-,33,18,12,14,6,3,2,1,1,3,0,1,0,1,1,7/26/2019,,,,1,,,
25-Jul-19,National,Morning Consult,"2,417",LV,B-,31,18,13,13,6,3,2,1,1,3,1,2,1,1,1,7/25/2019,,,,1,,,
"Jul 12-25, 2019",National,USC Dornsife/LA Times,"1,827",LV,C,28,11,10,10,5,1,1,1,0,3,0,1,0,1,0,7/25/2019,,,,0,1,"Participants are members of the Center for Economic and Social Research’s Understanding AmericaStudy (UAS) probability-based internet panel. The sample includes 1,520 who provided a choice of Democratic candidate in UAS survey 175 last April. The poll was conducted in respondents’ choice of English or Spanish.",https://drive.google.com/file/d/1xmuVJHXBGt5r-pXn9JO6sFPS_GYfZKfD/view
"Jul 21-23, 2019",National,Fox News,455,LV,A,33,15,10,12,5,2,3,1,0,2,1,1,0,3,1,7/23/2019,787,217,,0,,,
"Jul 21-23, 2019",National,YouGov,600,LV,B,25,13,9,18,6,2,2,1,0,2,0,3,2,1,1,7/23/2019,,,,1,,,
"Jul 15-21, 2019",National,Morning Consult,"17,285",LV,B-,33,18,13,14,5,2,2,1,1,3,1,1,1,1,1,7/21/2019,,,,1,,,
"Jul 15-17, 2019",National,HarrisX,910,RV,C+,26,14,10,9,4,2,1,0,0,4,1,1,0,1,1,7/17/2019,,,,1,,,
"Jul 2-16, 2019",National,SurveyMonkey,"5,548",RV,D-,25,16,14,16,8,3,2,1,1,3,0,2,1,1,-1,7/16/2019,,,,1,,,
"Jul 14-16, 2019",National,YouGov,572,LV,B,23,13,10,15,7,3,1,2,0,2,0,1,1,1,1,7/16/2019,,,,1,,,
"Jul 8-14, 2019",National,Morning Consult,"16,504",LV,B-,32,19,13,14,5,2,2,0,0,3,1,1,1,1,-1,7/14/2019,,,,1,,,
"Jul 3-14, 2019",National,YouGov,"1,097",LV,B,25,16,17,23,6,1,2,0,1,3,1,2,2,0,-1,7/14/2019,,,,1,,,
"Jul 12-13, 2019",National,HarrisX,446,RV,C+,29,16,11,9,1,1,0,1,0,3,1,1,1,1,0,7/13/2019,,,,1,,,
"Jul 7-9, 2019",National,NBC News/Wall Street Journal,400,LV,A-,26,13,13,19,7,1,2,0,1,2,1,1,0,1,-1,7/9/2019,451,359,,0,,Unclear,
"Jul 7-9, 2019",National,YouGov,592,LV,B,22,11,14,17,5,1,1,1,0,2,0,2,2,1,-1,7/9/2019,,,,1,,,
"Jul 6-8, 2019",National,Emerson College,481,LV,B+,30,15,15,15,5,2,3,0,0,4,0,0,2,1,-1,7/8/2019,0,724,,376,,,
"Jul 1-7, 2019",National,Morning Consult,"16,599",LV,B-,31,19,14,13,6,2,1,1,1,3,1,1,1,1,-1,7/7/2019,,,,1,,,
"Jun 28-Jul 2, 2019",National,Ipsos,"1,173",RV,B+,24,17,11,11,4,1,3,0,0,3,0,1,0,1,-1,7/2/2019,,,,1,,,
"Jun 30-Jul 2, 2019",National,YouGov,631,LV,B,21,10,13,18,9,2,0,1,0,3,0,2,1,1,-1,7/2/2019,,,,1,,,
"Jun 27-Jul 2, 2019",National,YouGov Blue/Data for Progress,"1,522",LV,Missing,23,15,17,22,7,2,2,0,0,2,1,1,1,1,-1,7/2/2019,,,,1,,,
"Jun 28-Jul 1, 2019",National,ABC News/Washington Post,397,RV,A+,30,19,13,12,4,1,0,0,1,2,0,3,1,2,-1,7/1/2019,650,350,,0,,,
"Jun 28-Jul 1, 2019",National,Change Research,"1,185",LV,C+,18,17,21,22,10,0,2,0,1,2,1,1,1,1,-1,7/1/2019,,,,1,,,
"Jun 29-Jul 1, 2019",National,HarrisX,882,RV,C+,28,14,13,9,4,2,1,1,1,3,1,2,1,1,-1,7/1/2019,,,,1,,,
"Jun 28-Jul 1, 2019",National,Quinnipiac University,554,RV,A-,22,13,20,14,4,3,1,0,0,1,0,1,1,1,-1,7/1/2019,Unclear,Unclear,,0,,,
"Jun 28-30, 2019",National,CNN/SSRS,656,RV,A-,22,14,17,15,4,3,1,1,0,3,0,1,1,2,-1,6/30/2019,1048,565,,0,,,
"Jun 29-30, 2019",National,HarrisX,449,RV,C+,33,15,11,9,6,2,1,0,0,4,0,1,1,0,-1,6/30/2019,,,,1,,,
"Jun 27-30, 2019",National,Morning Consult,"2,485",LV,B-,31,17,17,14,6,3,1,0,0,2,0,2,1,1,-1,6/30/2019,,,,1,,,
"Jun 26-29, 2019",National,Harris Interactive,845,RV,C+,34,15,9,11,3,3,1,-1,0,2,1,1,2,1,-1,6/29/2019,,,,1,,,
"Jun 26-28, 2019",National,HarrisX,888,RV,C+,30,20,5,10,4,3,1,1,0,3,0,1,1,1,-1,6/28/2019,,,,1,,,
"Jun 27-28, 2019",National,Morning Consult,"2,407",LV,B-,33,19,12,12,6,3,2,1,0,2,1,1,1,1,-1,6/28/2019,,,,1,,,
"Jun 26-27, 2019",National,Morning Consult,"2,041",LV,B-,33,17,7,17,5,4,1,1,0,3,0,3,1,1,-1,6/27/2019,,,,1,,,
"Jun 24-26, 2019",National,HarrisX,892,RV,C+,29,17,6,9,3,1,1,1,1,4,1,1,0,1,-1,6/26/2019,,,,1,,,
"Jun 19-26, 2019",National,Morning Consult,"7,150",LV,B-,35,18,6,12,6,3,1,0,0,4,0,1,0,1,-1,6/26/2019,,,,1,,,
"Jun 25-26, 2019",National,YouGov Blue/Data for Progress,"1,402",LV,Missing,30,16,7,24,7,2,2,0,0,3,0,1,1,1,-1,6/26/2019,,,,1,,,
"Jun 22-25, 2019",National,Echelon Insights,484,RV,Missing,32,15,6,11,9,2,1,1,0,3,0,0,0,1,-1,6/25/2019,,,,1,,,
"Jun 22-25, 2019",National,YouGov,522,LV,B,24,15,7,18,5,2,1,1,0,3,0,1,3,1,-1,6/25/2019,,,,1,,,
"Jun 21-24, 2019",National,Emerson College,457,LV,B+,34,27,7,14,6,3,1,0,0,1,0,0,0,1,-1,6/24/2019,0,697,,399,,,
"Jun 18-24, 2019",National,McLaughlin & Associates,459,LV,C-,34,17,6,11,6,2,1,1,0,4,0,0,1,1,-1,6/24/2019,,,,1,,,
"Jun 17-23, 2019",National,Morning Consult,"16,188",LV,B-,38,19,6,13,7,3,2,1,0,4,1,1,1,1,-1,6/23/2019,,,,1,,,
"Jun 19-21, 2019",National,Change Research,"1,071",LV,C+,24,22,8,22,13,2,1,0,0,2,0,1,1,1,-1,6/21/2019,,,,1,,,
"Jun 16-18, 2019",National,YouGov,576,LV,B,26,13,7,14,9,2,1,1,0,4,1,1,1,1,-1,6/18/2019,,,,1,,,
"Jun 12-17, 2019",National,Monmouth University,306,RV,A+,32,14,8,15,5,2,2,1,1,3,0,0,1,1,-1,6/17/2019,450,301,,0,,,
"Jun 10-16, 2019",National,Morning Consult,"17,226",LV,B-,38,19,7,11,7,3,1,0,1,4,1,1,1,1,-1,6/16/2019,,,,1,,,
"Jun 14-15, 2019",National,HarrisX,424,RV,C+,35,13,5,7,4,3,0,0,0,6,1,2,0,1,-1,6/15/2019,,,,1,,,
"Jun 11-15, 2019",National,Suffolk University,385,LV,B+,30,15,8,10,9,2,1,0,0,2,0,1,0,0,-1,6/15/2019,822,178,,0,,"Landlines and cell phones were called using a probability-proportionate-to-size method, which means that the phone numbers assigned to each state were proportional to the number of adult residents in each state. States were grouped into four general regions. Respondents in the households were selected by initially asking for the youngest adult. Surveys were administered in English and Spanish",https://www.suffolk.edu/academics/research-at-suffolk/political-research-center/polls/national
"Jun 10-13, 2019",National,WPA Intelligence*,"1,000",LV,B,35,14,9,10,8,3,1,0,0,4,0,1,0,1,-1,6/13/2019,,,,1,,,
"Jun 9-12, 2019",National,Fox News,449,LV,A,32,13,8,9,8,3,2,0,0,4,1,1,1,2,-1,6/12/2019,783,218,,0,,,
"Jun 9-11, 2019",National,YouGov,513,LV,B,26,12,6,16,8,2,1,1,0,3,0,1,0,1,-1,6/11/2019,,,,1,,,
"Jun 5-10, 2019",National,Change Research,"1,621",LV,C+,26,21,8,19,14,1,1,0,0,3,0,0,1,1,-1,6/10/2019,,,,1,,,
"Jun 6-10, 2019",National,Quinnipiac University,503,RV,A-,30,19,7,15,8,1,1,0,0,3,0,0,0,1,-1,6/10/2019,Unclear,Unclear,,0,,,
"Jun 3-9, 2019",National,Morning Consult,"17,012",LV,B-,37,19,7,11,7,3,1,0,0,4,1,1,1,2,-1,6/9/2019,,,,1,,,
"May 29-Jun 5, 2019",National,Ipsos,"2,271",RV,B+,31,14,6,9,5,2,1,1,0,3,0,1,1,2,-1,6/5/2019,,,,1,,,
"Jun 2-4, 2019",National,YouGov,550,LV,B,27,16,8,11,9,2,1,2,0,2,1,0,1,1,-1,6/4/2019,,,,1,,,
"May 31-Jun 3, 2019",National,Avalanche Strategy,"1,109",LV,Missing,29,17,12,16,13,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,6/3/2019,,,,1,,,
"Jun 1-2, 2019",National,HarrisX,431,RV,C+,35,16,4,5,8,3,0,0,1,4,0,0,0,1,-1,6/2/2019,,,,1,,,
"May 27-Jun 2, 2019",National,Morning Consult,"16,587",LV,B-,38,19,7,10,7,3,1,1,1,4,1,1,1,1,-1,6/2/2019,,,,1,,,
"May 28-31, 2019",National,CNN/SSRS,412,RV,A-,32,18,8,7,5,3,1,0,0,5,0,2,1,2,-1,5/31/2019,651,355,,0,,,
"May 29-30, 2019",National,Harris Interactive,471,RV,C+,36,17,8,5,5,3,1,-1,0,4,1,1,0,0,-1,5/30/2019,,,,1,,,
"May 20-26, 2019",National,Morning Consult,"16,368",LV,B-,38,20,7,9,7,3,1,0,1,4,1,1,1,1,-1,5/26/2019,,,,1,,,
"May 23-25, 2019",National,HarrisX,881,RV,C+,33,15,6,7,5,3,1,-1,0,3,1,1,0,1,-1,5/25/2019,,,,1,,,
"May 18-21, 2019",National,Change Research,"1,420",LV,C+,31,22,8,15,9,2,2,1,0,4,0,0,1,1,-1,5/21/2019,,,,1,,,
"May 20-21, 2019",National,Echelon Insights,447,RV,Missing,38,16,5,5,5,2,1,0,0,5,0,1,0,2,-1,5/21/2019,,,,1,,,
"May 16-20, 2019",National,Monmouth University,334,RV,A+,33,15,11,10,6,1,1,1,1,4,0,1,1,3,-1,5/20/2019,480,322,,0,,,
"May 16-20, 2019",National,Quinnipiac University,454,RV,A-,35,16,8,13,5,3,1,0,0,2,0,1,1,2,-1,5/20/2019,Unclear,Unclear,,0,,,
"May 13-19, 2019",National,Morning Consult,"14,830",LV,B-,39,19,8,9,6,3,1,1,0,4,1,1,1,1,-1,5/19/2019,,,,1,,,
"May 17-18, 2019",National,HarrisX,448,RV,C+,33,14,6,8,6,1,1,0,0,5,0,1,0,1,-1,5/18/2019,,,,1,,,
"May 11-14, 2019",National,Fox News,469,LV,A,35,17,5,9,6,3,1,-1,1,4,1,2,1,2,-1,5/14/2019,777,231,,0,,,
"May 10-14, 2019",National,Ipsos,964,RV,B+,32,14,7,7,4,2,1,0,0,6,0,1,0,1,-1,5/14/2019,,,,1,,,
"May 10-13, 2019",National,Emerson College,429,LV,B+,33,25,10,10,8,1,1,-1,0,3,0,2,1,1,-1,5/13/2019,0,604,,402,,,
"May 8-13, 2019",National,HarrisX,"2,207",RV,C+,39,20,6,8,5,4,1,-1,1,5,1,1,0,2,-1,5/13/2019,,,,1,,,
"May 6-12, 2019",National,Morning Consult,"15,342",LV,B-,39,19,8,8,6,3,1,0,-1,5,0,1,1,2,-1,5/12/2019,,,,1,,,
"May 7-11, 2019",National,McLaughlin & Associates,360,LV,C-,30,19,7,7,4,5,2,0,0,5,0,1,0,2,-1,5/11/2019,,,,1,,,
"May 2-9, 2019",National,Zogby Interactive/JZ Analytics,463,LV,C,37,15,5,6,7,3,2,-1,-1,5,1,1,1,2,-1,5/9/2019,,,,1,,,
"May 1-5, 2019",National,GBAO,800,LV,B,36,13,6,8,5,3,-1,-1,-1,4,-1,1,-1,1,-1,5/5/2019,Unclear,Unclear,,0,,Unclear,
"Apr 29-May 5, 2019",National,Morning Consult,"15,770",LV,B-,40,19,7,8,6,3,1,-1,-1,5,1,1,1,2,-1,5/5/2019,,,,1,,,
"May 3-4, 2019",National,HarrisX,440,RV,C+,46,14,6,7,8,3,1,-1,1,3,1,1,1,0,-1,5/4/2019,,,,1,,,
"Apr 30-May 1, 2019",National,Harris Interactive,259,RV,C+,44,14,9,5,2,3,0,-1,0,3,1,0,0,2,-1,5/1/2019,,,,1,,,
"Apr 30-May 1, 2019",National,Harris Interactive,254,RV,C+,34,17,4,3,4,5,2,-1,0,8,1,0,0,1,-1,5/1/2019,,,,1,,,
"Apr 26-29, 2019",National,Quinnipiac University,419,RV,A-,38,11,8,12,10,2,1,-1,0,5,0,1,0,1,-1,4/29/2019,Unclear,Unclear,,0,,,
"Apr 25-28, 2019",National,CNN/SSRS,411,RV,A-,39,15,5,8,7,2,1,0,1,6,0,1,2,2,-1,4/28/2019,649,358,,0,,,
"Apr 26-28, 2019",National,HarrisX,741,RV,C+,33,16,5,6,5,3,0,-1,0,5,1,1,1,1,-1,4/28/2019,,,,1,,,
"Apr 22-28, 2019",National,Morning Consult,"15,475",LV,B-,36,22,7,9,8,3,2,-1,-1,5,1,1,1,2,-1,4/28/2019,,,,1,,,
"Apr 22-25, 2019",National,ABC News/Washington Post,427,A,A+,17,11,4,4,5,1,0,-1,-1,4,-1,0,-1,1,-1,4/25/2019,650,350,,0,,,
"Apr 17-23, 2019",National,Ipsos,"2,237",A,B+,24,15,6,5,7,3,1,-1,0,6,0,1,0,1,-1,4/23/2019,,,,1,,,
"Apr 15-21, 2019",National,Morning Consult,"14,335",LV,B-,30,24,8,7,9,4,2,-1,-1,6,0,1,1,2,-1,4/21/2019,,,,1,,,
"Apr 17-19, 2019",National,Echelon Insights,499,RV,Missing,26,22,6,3,7,3,2,0,0,9,1,1,0,1,-1,4/19/2019,,,,1,,,
"Apr 12-15, 2019",National,Change Research,"2,518",LV,C+,21,20,7,8,17,4,2,-1,0,9,0,1,2,2,-1,4/15/2019,,,,1,,,
