Dates,Region,Pollster,Sample,Voter_Type,Pollster_Grade,Biden,Sanders,Harris,Warren,Buttigieg,Booker,Yang,de Blasio,Williamson,O'Rourke,Delaney,Castro,Gabbard,Klobuchar,Steyer,Poll_End_Date,Cell,Landline,Text,Online,Mail
"Sep 8-10, 2019",National,YouGov,632,LV,B,24,17,6,24,5,2,2,1,2,1,1,2,1,1,0,9/10/2019,0.0,0.0,0.0,1.0,0.0
"Sep 5-9, 2019",National,CNN/SSRS,908,RV,A-,24,17,8,18,6,2,2,1,1,5,0,1,2,1,1,9/9/2019,1051.0,588.0,0.0,0.0,0.0
"Sep 6-9, 2019",New Hampshire,Emerson College,483,LV,B+,24,13,8,21,11,4,3,0,1,1,3,0,6,1,1,9/9/2019,0.0,692.0,0.0,349.0,0.0
"Sep 4-9, 2019",Texas,Quinnipiac University,456,RV,A-,28,12,5,18,3,1,1,0,0,12,1,3,0,2,0,9/9/2019,0.5,0.5,0.0,0.0,0.0
"Sep 7-8, 2019",National,HarrisX,454,RV,C+,27,15,7,12,4,3,5,0,0,3,1,2,1,1,1,9/8/2019,0.0,0.0,0.0,1.0,0.0
"Sep 5-8, 2019",National,HarrisX,"1,350",RV,C+,27,17,6,13,5,3,3,1,0,3,0,2,1,1,1,9/8/2019,0.0,0.0,0.0,1.0,0.0
"Sep 2-8, 2019",National,Morning Consult,"17,824",LV,B-,33,21,7,16,5,3,3,1,1,3,1,1,1,1,1,9/8/2019,0.0,0.0,0.0,1.0,0.0
"Aug 12-Sep 8, 2019",National,USC Dornsife/LA Times,"2,462",LV,C,28,13,8,11,4,2,2,0,0,3,0,0,1,1,0,9/8/2019,0.0,0.0,0.0,0.0,1.0
"Aug 29-Sep 8, 2019",Texas,YouGov,552,LV,B,26,12,5,18,4,1,3,0,1,14,0,3,2,1,0,9/8/2019,0.0,0.0,0.0,1.0,0.0
"Aug 23-Sep 6, 2019",National,Benenson Strategy Group*,762,LV,B-,28,21,6,14,8,3,2,0,0,2,0,2,0,0,0,9/6/2019,0.5,0.5,0.0,0.0,0.0
"Aug 31-Sep 6, 2019",Texas,Univision/University of Houston/Latino Decisions/North Star Opinion Research,552,LV,Missing,20,13,5,12,1,3,1,0,0,19,1,12,1,0,1,9/6/2019,0.0,0.0,0.0,0.0,1.0
"Sep 2-6, 2019",National,YouGov,"1,002",LV,B,27,15,7,24,6,2,2,0,0,2,0,1,2,1,0,9/6/2019,0.0,0.0,0.0,1.0,0.0
"Sep 2-5, 2019",National,ABC News/Washington Post,391,RV,A+,29,19,7,18,4,1,3,1,0,3,0,0,2,2,1,9/5/2019,652.0,351.0,0.0,0.0,0.0
"Sep 3-5, 2019",Texas,Ragnar Research Partners,600,LV,Missing,23,12,7,15,6,1,-1,-1,-1,12,-1,2,4,-1,-1,9/5/2019,390.0,210.0,0.0,0.0,0.0
"Sep 3-5, 2019",Massachusetts,Suffolk University,500,LV,B+,26,8,3,24,5,1,1,0,0,1,0,0,2,0,0,9/5/2019,0.5,0.5,0.0,0.0,0.0
"Sep 1-4, 2019",National,HarrisX,842,LV,C+,33,15,6,15,6,2,2,1,1,3,0,1,1,1,1,9/4/2019,0.0,0.0,0.0,1.0,0.0
"Sep 3-4, 2019",National,TargetPoint/GQR Research,600,LV,Missing,26,15,5,23,5,1,-1,-1,-1,-1,-1,1,-1,2,-1,9/4/2019,0.5,0.5,0.0,0.0,0.0
"Aug 28-Sep 4, 2019",Iowa,YouGov,682,LV,B,29,26,6,17,7,2,1,1,0,2,1,1,1,2,2,9/4/2019,0.0,0.0,0.0,1.0,0.0
"Aug 28-Sep 4, 2019",Nevada,YouGov,563,LV,B,27,29,6,18,4,1,1,1,0,3,1,2,1,0,2,9/4/2019,0.0,0.0,0.0,1.0,0.0
"Aug 28-Sep 4, 2019",New Hampshire,YouGov,492,LV,B,26,25,7,27,8,2,1,0,0,1,0,0,1,1,1,9/4/2019,0.0,0.0,0.0,1.0,0.0
"Aug 28-Sep 4, 2019",South Carolina,YouGov,785,LV,B,43,18,7,14,4,2,1,1,0,1,1,0,1,1,1,9/4/2019,0.0,0.0,0.0,1.0,0.0
"Sep 1-3, 2019",National,YouGov,518,LV,B,26,14,5,21,6,1,3,2,1,1,1,2,3,0,0,9/3/2019,0.0,0.0,0.0,1.0,0.0
"Aug 26-Sep 1, 2019",National,Morning Consult,"16,736",LV,B-,32,20,8,16,5,3,3,0,1,3,1,1,1,1,1,9/1/2019,0.0,0.0,0.0,1.0,0.0
"Aug 1-31, 2019",California,Capitol Weekly,728,LV,Missing,27,14,12,23,9,1,3,0,2,2,1,1,3,1,1,8/31/2019,0.0,0.0,0.0,1.0,0.0
"Aug 28-31, 2019",National,HarrisX,"1,350",RV,C+,29,15,7,12,4,3,1,1,1,4,1,1,1,1,1,8/31/2019,0.0,0.0,0.0,1.0,0.0
"Aug 22-30, 2019",National,IBD/TIPP,360,RV,A-,28,12,6,24,5,4,1,0,0,0,0,1,0,1,0,8/30/2019,683.0,220.0,0.0,0.0,0.0
"Aug 28-29, 2019",National,Claster Consulting,752,LV,Missing,22,19,5,14,3,3,2,-1,1,2,-1,1,-1,2,0,8/29/2019,0.0,0.0,0.0,1.0,0.0
"Aug 25-29, 2019",Wisconsin,Marquette Law School,444,RV,A,28,20,3,17,6,1,2,-1,0,1,0,0,0,1,1,8/29/2019,496.0,304.0,0.0,0.0,0.0
"Aug 26-28, 2019",National,Harris Interactive,985,RV,C+,32,16,7,13,4,3,2,-1,0,4,1,1,1,1,1,8/28/2019,0.0,0.0,0.0,1.0,0.0
"Aug 24-27, 2019",National,HarrisX,775,LV,C+,37,13,6,13,4,3,2,0,1,3,0,1,1,1,2,8/27/2019,0.0,0.0,0.0,1.0,0.0
"Aug 24-27, 2019",National,YouGov,570,LV,B,24,14,8,20,5,1,2,1,1,2,0,2,2,1,1,8/27/2019,0.0,0.0,0.0,1.0,0.0
"Aug 23-26, 2019",National,Change Research,874,LV,C+,19,22,6,29,9,3,2,0,1,3,0,2,2,1,1,8/26/2019,0.0,0.0,0.0,1.0,0.0
"Aug 24-26, 2019",National,Emerson College,627,LV,B+,31,24,10,15,3,3,4,0,0,2,0,1,3,1,0,8/26/2019,0.0,955.0,0.0,503.0,0.0
"Aug 21-26, 2019",National,Quinnipiac University,648,RV,A-,32,15,7,19,5,1,3,1,1,1,0,0,1,1,0,8/26/2019,0.5,0.5,0.0,0.0,0.0
"Aug 20-25, 2019",Texas,Climate Nexus,639,LV,Missing,24,12,7,12,3,2,1,0,1,21,1,3,1,0,1,8/25/2019,0.0,0.0,0.0,1.0,0.0
"Aug 19-25, 2019",National,Morning Consult,"17,303",LV,B-,33,20,8,15,5,3,2,1,1,3,1,1,1,1,1,8/25/2019,0.0,0.0,0.0,1.0,0.0
"Aug 20-25, 2019",National,Suffolk University,424,LV,B+,32,12,6,14,6,2,3,0,0,2,0,1,0,0,0,8/25/2019,877.0,123.0,0.0,0.0,0.0
"Aug 16-25, 2019",Texas,Texas Lyceum,358,LV,Missing,24,13,4,15,3,2,2,0,1,18,0,4,1,3,0,8/25/2019,600.0,0.0,0.0,200.0,0.0
"Aug 23-24, 2019",National,HarrisX,465,RV,C+,30,17,4,14,4,2,2,0,1,3,0,1,1,1,1,8/24/2019,0.0,0.0,0.0,1.0,0.0
"Aug 16-23, 2019",National,HarrisX,"3,132",RV,C+,28,17,8,10,3,2,2,1,1,4,0,1,1,1,1,8/23/2019,0.0,0.0,0.0,1.0,0.0
"Aug 20-23, 2019",National,HarrisX,"1,343",RV,C+,28,18,7,12,3,2,2,1,1,3,1,1,0,1,1,8/23/2019,0.0,0.0,0.0,1.0,0.0
"Aug 19-21, 2019",National,Echelon Insights,479,RV,Missing,30,19,11,11,3,4,1,0,0,4,0,0,1,0,0,8/21/2019,0.0,0.0,0.0,1.0,0.0
"Aug 16-20, 2019",New Jersey,Change Research,635,LV,C+,26,21,8,23,12,5,1,0,0,2,-1,0,1,0,1,8/20/2019,0.0,0.0,0.0,1.0,0.0
"Aug 16-20, 2019",National,Monmouth University,298,RV,A+,19,20,8,20,4,4,3,1,2,2,0,2,1,1,0,8/20/2019,486.0,314.0,0.0,0.0,0.0
"Aug 17-20, 2019",National,YouGov,559,LV,B,22,19,8,17,7,2,1,1,0,3,0,1,2,0,0,8/20/2019,0.0,0.0,0.0,1.0,0.0
"Aug 16-19, 2019",Colorado,Emerson College,403,LV,B+,25,26,13,20,5,2,4,1,1,1,0,0,1,0,0,8/19/2019,0.0,656.0,0.0,344.0,0.0
"Aug 16-19, 2019",National,HarrisX,"1,341",RV,C+,27,17,8,9,3,3,2,1,1,4,0,1,1,1,1,8/19/2019,0.0,0.0,0.0,1.0,0.0
"Aug 15-18, 2019",National,CNN/SSRS,402,RV,A-,29,15,5,14,5,2,1,0,0,3,0,2,2,1,1,8/18/2019,650.0,351.0,0.0,0.0,0.0
"Aug 12-18, 2019",National,Morning Consult,"17,115",LV,B-,31,20,9,15,5,3,3,0,1,3,1,1,1,1,1,8/18/2019,0.0,0.0,0.0,1.0,0.0
"Aug 14-16, 2019",Nevada,Gravis Marketing,382,RV,C+,25,10,9,15,5,3,2,2,1,0,1,1,2,2,6,8/16/2019,0.5,0.5,0.0,0.5,0.0
"Aug 12-15, 2019",National,HarrisX,"1,336",RV,C+,28,14,8,12,3,2,3,1,0,3,1,1,1,1,1,8/15/2019,0.0,0.0,0.0,1.0,0.0
"Aug 11-13, 2019",National,Fox News,483,LV,A,31,10,8,20,3,3,3,1,1,2,1,1,1,2,1,8/13/2019,791.0,222.0,0.0,0.0,0.0
"Aug 10-13, 2019",National,YouGov,592,LV,B,21,16,8,20,5,2,1,0,1,5,0,1,2,1,1,8/13/2019,0.0,0.0,0.0,1.0,0.0
"Aug 9-12, 2019",South Carolina,Change Research,521,LV,C+,36,16,12,17,5,4,1,0,0,1,1,1,2,1,1,8/12/2019,0.0,0.0,0.0,1.0,0.0
"Aug 9-11, 2019",Iowa,Change Research,621,LV,C+,17,17,8,28,13,3,1,-1,0,3,0,1,2,2,2,8/11/2019,0.0,0.0,0.0,1.0,0.0
"Aug 9-11, 2019",Wisconsin,Change Research,626,LV,C+,20,24,5,29,9,1,2,-1,1,1,0,0,2,2,1,8/11/2019,0.0,0.0,0.0,1.0,0.0
"Aug 8-11, 2019",National,HarrisX,"1,350",RV,C+,30,17,6,9,5,2,2,0,0,4,0,1,1,1,1,8/11/2019,0.0,0.0,0.0,1.0,0.0
"Aug 5-11, 2019",National,Morning Consult,"17,117",LV,B-,33,20,9,14,5,3,2,0,1,3,1,1,1,1,1,8/11/2019,0.0,0.0,0.0,1.0,0.0
"Aug 9-10, 2019",National,HarrisX,451,RV,C+,31,16,7,10,4,1,1,0,2,4,1,2,1,2,1,8/10/2019,0.0,0.0,0.0,1.0,0.0
"Aug 2-8, 2019",Nevada,Change Research,439,LV,C+,26,22,10,23,7,0,1,-1,0,2,-1,1,1,1,3,8/8/2019,0.0,0.0,0.0,1.0,0.0
"Aug 4-7, 2019",National,HarrisX,"1,319",RV,C+,25,17,7,11,4,3,1,1,1,3,1,1,1,1,1,8/7/2019,0.0,0.0,0.0,1.0,0.0
"Aug 2-6, 2019",New Hampshire,Gravis Marketing,250,LV,C+,15,21,7,12,8,0,4,0,0,2,0,2,5,4,4,8/6/2019,0.5,0.5,0.0,0.5,0.0
"Aug 3-6, 2019",National,YouGov,573,LV,B,22,13,8,16,8,1,2,1,0,2,1,1,3,0,1,8/6/2019,0.0,0.0,0.0,1.0,0.0
"Aug 1-5, 2019",National,Ipsos,"1,023",RV,B+,25,20,7,10,5,3,2,1,0,2,0,1,1,1,0,8/5/2019,0.0,0.0,0.0,1.0,0.0
"Aug 1-5, 2019",National,Quinnipiac University,807,RV,A-,32,14,7,21,5,2,1,0,0,2,0,1,1,1,0,8/5/2019,0.5,0.5,0.0,0.0,0.0
"Aug 1-5, 2019",California,SurveyUSA,528,LV,A,25,18,17,21,6,1,1,0,0,0,0,0,1,0,0,8/5/2019,0.0,0.0,0.0,1.0,0.0
"Aug 1-5, 2019",National,SurveyUSA,999,LV,A,33,20,9,19,8,1,0,0,0,1,0,0,0,1,0,8/5/2019,0.0,0.0,0.0,1.0,0.0
"Aug 1-5, 2019",North Carolina,SurveyUSA,534,LV,A,36,15,8,13,5,1,1,0,0,0,0,1,1,0,0,8/5/2019,0.0,0.0,0.0,1.0,0.0
"Aug 2-4, 2019",National,Change Research,"1,450",LV,C+,23,23,7,26,9,2,2,0,0,2,0,1,2,1,0,8/4/2019,0.0,0.0,0.0,1.0,0.0
"Jul 29-Aug 4, 2019",Pennsylvania,Franklin & Marshall College,295,RV,B-,28,12,8,21,6,2,-1,-1,0,1,0,-1,1,0,-1,8/4/2019,0.0,0.0,0.0,0.0,1.0
"Aug 1-4, 2019",Iowa,Monmouth University,401,LV,A+,28,9,11,19,8,1,2,0,0,0,1,0,1,3,3,8/4/2019,225.0,176.0,0.0,0.0,0.0
"Aug 1-4, 2019",National,Morning Consult,"9,845",LV,B-,33,19,9,15,6,3,2,0,1,3,1,1,1,1,1,8/4/2019,0.0,0.0,0.0,1.0,0.0
"Jul 22-Aug 4, 2019",National,Pew Research Center,"1,757",RV,B-,26,12,11,16,5,1,1,-1,-1,1,-1,1,-1,1,-1,8/4/2019,0.0,0.0,0.0,1.0,0.0
"Aug 1-4, 2019",National,Public Policy Polling*,588,V,B,36,12,10,13,4,4,2,-1,-1,1,-1,1,-1,2,-1,8/4/2019,0.5,0.0,0.0,0.5,0.0
"Aug 1-4, 2019",New Hampshire,Suffolk University,500,LV,B+,21,17,8,14,6,1,1,0,1,0,1,0,3,1,1,8/4/2019,0.5,0.5,0.0,0.0,0.0
"Aug 1-4, 2019",Texas,University of Texas at Tyler,534,RV,Missing,24,18,5,10,5,2,2,1,1,23,0,4,1,0,1,8/4/2019,0.0,0.0,0.0,1.0,0.0
"Aug 1-3, 2019",Texas,Emerson College,400,LV,B+,28,16,5,14,7,2,3,0,0,19,0,2,1,0,0,8/3/2019,0.0,671.0,0.0,374.0,0.0
"Jul 31-Aug 3, 2019",National,HarrisX,"1,350",RV,C+,29,16,7,9,3,3,2,0,1,2,1,1,2,1,1,8/3/2019,0.0,0.0,0.0,1.0,0.0
"Jul 31-Aug 2, 2019",National,HarrisX,914,RV,C+,28,16,8,8,3,3,2,0,1,3,1,1,3,1,1,8/2/2019,0.0,0.0,0.0,1.0,0.0
"Jul 31-Aug 1, 2019",National,Harris Interactive,585,RV,C+,34,17,9,8,4,2,1,-1,0,3,0,1,0,1,1,8/1/2019,0.0,0.0,0.0,1.0,0.0
"Jul 25-Aug 1, 2019",National,IBD/TIPP,350,RV,A-,30,12,11,17,6,2,0,0,0,1,0,0,1,1,-1,8/1/2019,710.0,192.0,0.0,0.0,0.0
1-Aug-19,National,Morning Consult,"2,419",LV,B-,32,18,10,15,6,3,2,0,1,3,1,1,1,1,1,8/1/2019,0.0,0.0,0.0,1.0,0.0
"Jul 22-Aug 1, 2019",Washington,Zogby Interactive/JZ Analytics,619,LV,C,19,18,9,14,5,1,2,-1,-1,2,1,2,-1,1,-1,8/1/2019,0.0,0.0,0.0,1.0,0.0
"Jul 1-31, 2019",California,Capitol Weekly,739,LV,Missing,21,15,21,24,8,1,2,0,0,2,0,2,1,1,0,7/31/2019,0.0,0.0,0.0,1.0,0.0
31-Jul-19,National,Morning Consult,"2,410",LV,B-,34,19,10,14,6,3,1,0,1,2,1,1,1,1,1,7/31/2019,0.0,0.0,0.0,1.0,0.0
"Jul 28-30, 2019",National,HarrisX,868,RV,C+,30,15,8,8,3,2,1,1,0,3,0,2,0,1,1,7/30/2019,0.0,0.0,0.0,1.0,0.0
30-Jul-19,National,Morning Consult,"2,485",LV,B-,35,18,12,13,5,3,2,1,0,2,1,1,1,1,1,7/30/2019,0.0,0.0,0.0,1.0,0.0
"Jul 27-30, 2019",National,YouGov,629,LV,B,26,13,10,18,5,2,1,1,0,2,1,2,2,1,0,7/30/2019,0.0,0.0,0.0,1.0,0.0
"Jul 27-29, 2019",National,Emerson College,520,LV,B+,33,20,11,14,6,0,2,1,0,4,1,1,1,0,2,7/29/2019,0.0,794.0,0.0,439.0,0.0
29-Jul-19,National,Morning Consult,"2,503",LV,B-,34,18,11,14,5,2,1,0,1,3,0,1,1,1,1,7/29/2019,0.0,0.0,0.0,1.0,0.0
"Jul 26-29, 2019",Illinois,Victory Research,"1,200",LV,Missing,36,15,9,13,9,1,0,0,0,2,-1,1,0,2,1,7/29/2019,698.0,502.0,0.0,0.0,0.0
"Jul 18-28, 2019",National,GQR Research,471,LV,B-,31,22,12,15,8,1,1,0,0,2,0,0,1,2,-1,7/28/2019,0.5,0.5,0.0,0.0,0.0
"Jul 27-28, 2019",National,HarrisX,444,RV,C+,34,20,9,12,5,1,1,0,0,4,1,1,0,1,1,7/28/2019,0.0,0.0,0.0,1.0,0.0
"Jul 23-28, 2019",National,McLaughlin & Associates,468,LV,C-,28,15,10,9,3,3,2,1,1,4,1,1,1,0,1,7/28/2019,0.0,0.0,0.0,1.0,0.0
"Jul 22-28, 2019",National,Morning Consult,"16,959",LV,B-,33,18,12,13,5,3,2,1,1,3,1,1,1,1,1,7/28/2019,0.0,0.0,0.0,1.0,0.0
28-Jul-19,National,Morning Consult,"2,408",LV,B-,34,18,12,14,5,2,2,0,0,3,0,1,1,1,1,7/28/2019,0.0,0.0,0.0,1.0,0.0
"Jul 25-28, 2019",National,Quinnipiac University,579,RV,A-,34,11,12,15,6,1,2,0,1,2,0,0,1,1,0,7/28/2019,0.5,0.5,0.0,0.0,0.0
"Jul 23-27, 2019",National,Echelon Insights,510,RV,Missing,33,14,11,10,5,1,1,0,0,3,0,1,2,0,0,7/27/2019,0.0,0.0,0.0,1.0,0.0
27-Jul-19,National,Morning Consult,"2,345",LV,B-,34,19,11,14,4,2,2,0,1,3,0,1,1,1,1,7/27/2019,0.0,0.0,0.0,1.0,0.0
"Jul 17-27, 2019",Oklahoma,SoonerPoll.com,152,LV,B-,26,5,8,12,6,2,-1,0,1,1,1,0,0,1,0,7/27/2019,159.0,214.0,0.0,0.0,0.0
"Jul 24-27, 2019",Texas,University of Texas at Tyler,554,RV,Missing,19,14,8,9,2,1,0,0,1,38,0,2,1,0,0,7/27/2019,0.0,0.0,0.0,1.0,0.0
"Jul 23-26, 2019",National,Change Research,"1,204",LV,C+,20,20,15,22,9,1,3,0,0,2,0,1,2,3,0,7/26/2019,0.0,0.0,0.0,1.0,0.0
26-Jul-19,National,Morning Consult,"2,345",LV,B-,33,18,12,14,6,3,2,1,1,3,0,1,0,1,1,7/26/2019,0.0,0.0,0.0,1.0,0.0
"Jul 23-25, 2019",Iowa,Firehouse Strategies/Øptimus,630,LV,C-,23,11,12,23,7,2,0,-1,-1,2,-1,-1,-1,-1,-1,7/25/2019,113.0,224.0,221.0,0.0,0.0
"Jul 23-25, 2019",New Hampshire,Firehouse Strategies/Øptimus,587,LV,C-,22,13,13,16,8,1,1,-1,-1,0,-1,-1,-1,-1,-1,7/25/2019,143.0,231.0,144.0,0.0,0.0
"Jul 23-25, 2019",South Carolina,Firehouse Strategies/Øptimus,554,LV,C-,31,9,10,12,4,2,1,-1,-1,0,-1,-1,-1,-1,-1,7/25/2019,121.0,254.0,182.0,0.0,0.0
25-Jul-19,National,Morning Consult,"2,417",LV,B-,31,18,13,13,6,3,2,1,1,3,1,2,1,1,1,7/25/2019,0.0,0.0,0.0,1.0,0.0
"Jul 12-25, 2019",National,USC Dornsife/LA Times,"1,827",LV,C,28,11,10,10,5,1,1,1,0,3,0,1,0,1,0,7/25/2019,0.0,0.0,0.0,0.0,1.0
"Jul 21-23, 2019",National,Fox News,455,LV,A,33,15,10,12,5,2,3,1,0,2,1,1,0,3,1,7/23/2019,787.0,217.0,0.0,0.0,0.0
"Jul 14-23, 2019",California,Public Policy Institute of California,766,LV,A,11,12,19,15,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7/23/2019,1194.0,512.0,0.0,0.0,0.0
"Jul 21-23, 2019",National,YouGov,600,LV,B,25,13,9,18,6,2,2,1,0,2,0,3,2,1,1,7/23/2019,0.0,0.0,0.0,1.0,0.0
"Jul 18-22, 2019",South Carolina,Monmouth University,405,LV,A+,39,10,12,9,5,2,0,0,0,1,0,0,0,1,2,7/22/2019,243.0,162.0,0.0,0.0,0.0
"Jul 17-22, 2019",Ohio,Quinnipiac University,556,RV,A-,31,14,14,13,6,1,1,0,0,1,0,1,1,1,1,7/22/2019,0.5,0.5,0.0,0.0,0.0
"Jul 15-21, 2019",National,Morning Consult,"17,285",LV,B-,33,18,13,14,5,2,2,1,1,3,1,1,1,1,1,7/21/2019,0.0,0.0,0.0,1.0,0.0
"Jul 9-18, 2019",California,YouGov,"1,404",LV,B,24,16,23,19,6,1,1,0,1,1,0,1,1,1,1,7/18/2019,0.0,0.0,0.0,1.0,0.0
"Jul 9-18, 2019",Iowa,YouGov,576,LV,B,24,19,16,17,7,3,0,0,0,1,1,2,0,4,2,7/18/2019,0.0,0.0,0.0,1.0,0.0
"Jul 9-18, 2019",New Hampshire,YouGov,504,LV,B,27,20,12,18,7,1,1,0,0,2,1,1,2,1,1,7/18/2019,0.0,0.0,0.0,1.0,0.0
"Jul 9-18, 2019",South Carolina,YouGov,915,LV,B,39,17,12,12,5,3,1,0,1,2,1,0,0,1,1,7/18/2019,0.0,0.0,0.0,1.0,0.0
"Jul 9-18, 2019",Texas,YouGov,838,LV,B,27,12,12,16,4,0,1,0,0,17,1,4,1,1,0,7/18/2019,0.0,0.0,0.0,1.0,0.0
"Jul 14-17, 2019",Michigan,Climate Nexus,324,LV,Missing,35,16,8,14,4,2,1,0,0,1,0,0,1,1,1,7/17/2019,0.0,0.0,0.0,1.0,0.0
"Jul 15-17, 2019",National,HarrisX,910,RV,C+,26,14,10,9,4,2,1,0,0,4,1,1,0,1,1,7/17/2019,0.0,0.0,0.0,1.0,0.0
"Jul 2-16, 2019",Georgia,SurveyMonkey,402,RV,D-,31,12,15,13,5,2,4,0,0,1,0,3,0,2,-1,7/16/2019,0.0,0.0,0.0,1.0,0.0
"Jul 2-16, 2019",Mississippi,SurveyMonkey,282,RV,D-,47,21,8,7,3,3,0,0,2,0,0,0,0,1,-1,7/16/2019,0.0,0.0,0.0,1.0,0.0
