Dates,Region,Pollster,Sample,Voter_Type,Pollster_Grade,Biden,Sanders,Harris,Warren,Buttigieg,Booker,Yang,de Blasio,Williamson,O'Rourke,Delaney,Castro,Gabbard,Klobuchar,Steyer,Poll_End_Date,Cell,Landline,Text,Online,Mail,Methodology Details,Methodology URL
"Jul 17-22, 2019",Ohio,Quinnipiac University,556,RV,A-,31,14,14,13,6,1,1,0,0,1,0,1,1,1,1,7/22/2019,Unclear,Unclear,,0,,,
"Jul 18-22, 2019",South Carolina,Monmouth University,405,LV,A+,39,10,12,9,5,2,0,0,0,1,0,0,0,1,2,7/22/2019,243,162,,0,,,
"Jul 9-18, 2019",California,YouGov,"1,404",LV,B,24,16,23,19,6,1,1,0,1,1,0,1,1,1,1,7/18/2019,,,,1,,,
"Jul 9-18, 2019",Iowa,YouGov,576,LV,B,24,19,16,17,7,3,0,0,0,1,1,2,0,4,2,7/18/2019,,,,1,,,
"Jul 9-18, 2019",New Hampshire,YouGov,504,LV,B,27,20,12,18,7,1,1,0,0,2,1,1,2,1,1,7/18/2019,,,,1,,,
"Jul 9-18, 2019",South Carolina,YouGov,915,LV,B,39,17,12,12,5,3,1,0,1,2,1,0,0,1,1,7/18/2019,,,,1,,,
"Jul 9-18, 2019",Texas,YouGov,838,LV,B,27,12,12,16,4,0,1,0,0,17,1,4,1,1,0,7/18/2019,,,,1,,,
"Jul 14-17, 2019",Michigan,Climate Nexus,324,LV,-10,35,16,8,14,4,2,1,0,0,1,0,0,1,1,1,7/17/2019,,,,1,,,
"Jul 2-16, 2019",Alabama,SurveyMonkey,257,RV,D-,36,15,13,9,5,2,1,1,1,1,1,0,0,0,-1,7/16/2019,,,,1,,,
"Jul 2-16, 2019",Georgia,SurveyMonkey,402,RV,D-,31,12,15,13,5,2,4,0,0,1,0,3,0,2,-1,7/16/2019,,,,1,,,
"Jul 2-16, 2019",Mississippi,SurveyMonkey,282,RV,D-,47,21,8,7,3,3,0,0,2,0,0,0,0,1,-1,7/16/2019,,,,1,,,
"Jul 2-16, 2019",Tennessee,SurveyMonkey,128,RV,D-,33,13,12,18,6,1,0,0,0,1,0,1,1,1,-1,7/16/2019,,,,1,,,
"Jul 1-15, 2019",California,Capitol Weekly,816,LV,-10,20,16,20,25,8,1,1,0,1,2,0,1,1,1,0,7/15/2019,,,,1,,(confirmed it was online via phone call w/ editor),
"Jul 10-15, 2019",California,Quinnipiac University,519,RV,A-,21,18,23,16,3,1,2,0,0,1,0,1,0,0,0,7/15/2019,Unclear,Unclear,,0,,,
"Jul 8-15, 2019",New Hampshire,University of New Hampshire,386,LV,B,24,19,9,19,10,2,1,0,1,2,1,0,1,0,0,7/15/2019,313,73,,0,,,
"Jul 12-14, 2019",Colorado,Public Policy Polling*,561,V,B,22,15,9,19,7,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,7/14/2019,Unclear,0,,Unclear,,,
"Jul 10-12, 2019",New Hampshire,Saint Anselm College,351,LV,-10,21,10,18,17,12,1,5,-1,2,0,-1,-1,1,3,-1,7/12/2019,Unclear,Unclear,,0,,,
"Jul 9-11, 2019",California,Change Research,"1,609",LV,C+,17,20,23,22,8,1,2,0,0,2,0,1,2,1,0,7/11/2019,,,,1,,,
"Jul 10-11, 2019",Missouri,Remington Research Group,"1,122",LV,C,43,4,13,15,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7/11/2019,400,1600,,0,,,https://remingtonresearchgroup.com/about/
"Jul 7-10, 2019",South Carolina,Fox News,701,LV,A,35,14,12,5,2,3,1,0,1,0,1,0,0,0,0,7/10/2019,430,271,,0,,,
"Jul 6-9, 2019",New Hampshire,Change Research,"1,084",LV,C+,19,20,15,22,13,1,1,0,1,1,0,0,3,1,-1,7/9/2019,,,,1,,,
"Jun 29-Jul 4, 2019",Iowa,Change Research,420,LV,C+,16,16,16,18,25,1,1,-1,0,2,1,1,1,1,-1,7/4/2019,,,,1,,,
"Jun 29-Jul 4, 2019",New Hampshire,Change Research,420,LV,C+,13,26,13,24,14,2,2,-1,0,2,0,0,2,1,-1,7/4/2019,,,,1,,,
"Jun 29-Jul 4, 2019",South Carolina,Change Research,421,LV,C+,27,16,21,15,6,6,1,-1,1,1,1,1,2,0,-1,7/4/2019,,,,1,,,
"Jun 29-Jul 1, 2019",Iowa,David Binder Research,600,LV,-10,17,12,18,20,10,2,1,1,1,1,1,1,1,4,-1,7/1/2019,Unclear,Unclear,,0,,,
"Jun 28-Jul 1, 2019",Iowa,Suffolk University,500,LV,B+,24,9,16,13,6,2,1,0,0,1,1,1,1,2,-1,7/1/2019,Unclear,Unclear,,0,,,
"Jun 1-30, 2019",California,Capitol Weekly,813,LV,-10,23,19,14,23,8,2,2,0,0,2,0,0,2,1,-1,6/30/2019,,,,1,,,
24-Jun-19,Maine,Gravis Marketing,243,RV,C+,25,15,2,17,8,3,5,0,3,1,-1,0,0,0,-1,6/24/2019,Unclear,Unclear,,Unclear,,,
"Jun 22-23, 2019",Florida,St. Pete Polls,"2,022",LV,B-,47,8,6,12,8,3,-1,-1,-1,2,-1,-1,-1,-1,-1,6/23/2019,0,2022,,0,,,
"Jun 20-21, 2019",Mississippi,Chism Strategies,523,LV,-10,50,7,5,7,2,2,0,1,0,1,1,-1,-1,1,-1,6/21/2019,0,256,267,0,,(confirmed via email as well),
"Jun 17-20, 2019",Iowa,Change Research,308,LV,C+,27,18,4,20,17,5,1,0,0,1,2,1,1,2,-1,6/20/2019,,,,1,,,
"Jun 17-20, 2019",New Hampshire,Change Research,308,LV,C+,24,28,3,21,14,0,1,0,0,4,1,0,1,1,-1,6/20/2019,,,,1,,,
"Jun 17-20, 2019",South Carolina,Change Research,308,LV,C+,39,13,9,15,11,5,2,1,0,5,0,0,0,0,-1,6/20/2019,,,,1,,,
"Jun 16-17, 2019",Florida,Change Research,"1,130",LV,C+,33,20,7,15,15,2,3,-1,0,3,0,1,0,2,-1,6/17/2019,,,,1,,,
"Jun 12-17, 2019",Florida,Quinnipiac University,417,RV,A-,41,14,6,12,8,1,0,0,0,1,0,0,0,1,-1,6/17/2019,Unclear,Unclear,,0,,,
"Jun 11-14, 2019",South Carolina,Change Research,933,LV,C+,37,9,9,17,11,5,3,1,1,4,0,-1,1,1,-1,6/14/2019,,,,1,,,
"May 31-Jun 12, 2019",Iowa,YouGov,441,LV,B,30,22,5,12,11,3,0,0,0,4,2,0,1,4,-1,6/12/2019,,,,1,,,
"Jun 8-12, 2019",Minnesota,Change Research,772,LV,C+,20,19,4,21,11,1,2,-1,0,3,0,1,0,16,-1,6/12/2019,,,,1,,,
"May 31-Jun 12, 2019",New Hampshire,YouGov,448,LV,B,33,20,7,17,10,3,1,0,0,4,0,0,0,1,-1,6/12/2019,,,,1,,,
"May 31-Jun 12, 2019",South Carolina,YouGov,559,LV,B,45,18,7,8,6,4,1,0,0,4,0,0,0,1,-1,6/12/2019,,,,1,,,
"Jun 7-11, 2019",Florida,Climate Nexus,676,RV,-10,32,16,6,10,6,2,2,1,0,2,2,0,0,1,-1,6/11/2019,,,,1,,,
"Jun 6-11, 2019",Nevada,Monmouth University,370,LV,A+,36,13,6,19,7,2,2,0,1,2,0,1,1,1,-1,6/11/2019,239,131,,0,,,
"Jun 4-10, 2019",California,UC Berkeley,"2,131",LV,-10,22,17,13,18,10,1,1,-1,0,3,0,1,-1,1,-1,6/10/2019,,,,1,,,
"Jun 5-9, 2019",Massachusetts,Suffolk University,370,LV,B+,22,6,5,10,8,1,1,0,0,1,0,0,1,0,-1,6/9/2019,Unclear,Unclear,,0,,,
"May 31-Jun 9, 2019",Texas,YouGov,483,LV,B,23,12,5,14,8,1,0,0,0,15,1,3,3,1,-1,6/9/2019,,,,1,,,
"Jun 2-6, 2019",New York,Siena College,385,RV,A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6/6/2019,Unclear,Unclear,,0,,,
"May 29-Jun 6, 2019",Virginia,Hampton University,"1,126",RV,C+,36,17,7,13,11,2,1,0,0,3,0,2,0,0,-1,6/6/2019,0,0,0,0,1,,
"Jun 2-5, 2019",Iowa,Selzer & Co.,600,LV,A+,24,16,7,15,14,1,1,0,0,2,1,1,1,2,-1,6/5/2019,Unclear,Unclear,,0,,,
"May 29-Jun 4, 2019",Texas,Quinnipiac University,407,RV,A-,30,15,4,11,3,1,1,0,1,16,2,4,0,0,-1,6/4/2019,Unclear,Unclear,,0,,,
"May 31-Jun 3, 2019",North Carolina,Emerson College,397,LV,B+,39,22,5,15,8,1,1,1,0,3,0,0,0,1,-1,6/3/2019,0,527,0,405,,,
"May 30-Jun 3, 2019",Texas,Change Research,"1,218",LV,C+,24,13,8,12,8,1,1,0,0,27,0,2,0,1,-1,6/3/2019,,,,1,,,
"May 1-31, 2019",California,Capitol Weekly,"1,180",LV,-10,29,22,17,11,9,2,0,0,0,4,-1,1,0,1,-1,5/31/2019,,,,1,,,
"May 23-29, 2019",Arizona,Zogby Interactive/JZ Analytics,197,LV,C,35,16,4,10,6,2,0,-1,-1,2,2,2,1,0,-1,5/29/2019,,,,1,,,
"May 23-29, 2019",Florida,Zogby Interactive/JZ Analytics,228,LV,C,34,18,2,7,6,2,1,-1,-1,4,0,1,2,1,-1,5/29/2019,,,,1,,,
"May 23-29, 2019",Michigan,Zogby Interactive/JZ Analytics,268,LV,C,27,18,7,8,9,1,2,-1,-1,4,1,1,1,1,-1,5/29/2019,,,,1,,,
"May 23-29, 2019",Ohio,Zogby Interactive/JZ Analytics,222,LV,C,29,19,5,12,6,3,3,-1,-1,2,1,0,1,1,-1,5/29/2019,,,,1,,,
"May 23-29, 2019",Pennsylvania,Zogby Interactive/JZ Analytics,246,LV,C,46,15,3,8,9,2,1,-1,-1,2,0,1,0,0,-1,5/29/2019,,,,1,,,
"May 23-29, 2019",South Carolina,Zogby Interactive/JZ Analytics,183,LV,C,36,13,4,12,7,4,0,-1,-1,2,0,1,1,0,-1,5/29/2019,,,,1,,,
"May 23-29, 2019",Wisconsin,Zogby Interactive/JZ Analytics,238,LV,C,28,13,7,14,7,2,0,-1,-1,1,0,1,1,3,-1,5/29/2019,,,,1,,,
"May 25-28, 2019",California,Change Research,"1,649",LV,C+,30,23,15,12,12,1,1,-1,0,3,-1,1,1,0,-1,5/28/2019,,,,1,,,
"May 22-24, 2019",South Carolina,Tel Opinion Research,600,LV,B,37,10,7,8,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,5/24/2019,288,312,,0,,,
"May 20-22, 2019",New Hampshire,Tel Opinion Research,600,LV,B,33,12,7,11,7,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5/22/2019,200,400,,0,,,
"May 16-19, 2019",Florida,Florida Atlantic University,403,LV,C+,39,12,7,12,9,1,1,-1,0,5,0,2,0,1,-1,5/19/2019,0,604,,403,,,
"May 15-19, 2019",Iowa,Change Research,615,LV,C+,24,24,10,12,14,1,2,-1,0,5,1,0,1,2,-1,5/19/2019,,,,1,,,
"May 14-16, 2019",South Carolina,Crantford Research,381,LV,-10,42,7,10,8,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,5/16/2019,,,,1,,,
"May 9-14, 2019",Pennsylvania,Quinnipiac University,431,RV,A-,39,13,8,8,6,5,0,-1,0,2,0,0,0,1,-1,5/14/2019,Unclear,Unclear,,0,,,
"May 9-12, 2019",Nevada,Change Research,389,LV,C+,29,24,11,12,13,2,1,-1,-1,4,-1,1,1,1,-1,5/12/2019,,,,1,,,
"May 8-10, 2019",Michigan,Denno Research,235,LV,-10,37,16,4,9,5,3,0,-1,0,1,0,0,1,1,-1,5/10/2019,210,390,0,0,,,
"May 6-9, 2019",South Carolina,Change Research,595,LV,C+,46,15,10,8,8,4,2,-1,1,2,0,0,0,1,-1,5/9/2019,,,,1,,,
8-May-19,Florida,Tel Opinion Research,800,LV,B,39,16,5,5,3,1,-1,-1,-1,1,-1,-1,-1,1,-1,5/8/2019,464,336,,0,,,
"May 2-7, 2019",New Hampshire,Monmouth University,376,LV,A+,36,18,6,8,9,2,1,0,0,2,0,0,0,2,-1,5/7/2019,158,218,,0,,,
"Apr 29-May 5, 2019",Indiana,We Ask America,280,LV,C,33,23,3,2,20,1,-1,-1,-1,2,-1,-1,-1,-1,-1,5/5/2019,,,,1,,,
"May 3-5, 2019",New Hampshire,Change Research,864,LV,C+,26,30,8,9,12,2,2,-1,0,3,2,0,1,1,-1,5/5/2019,,,,1,,,
"Apr 30-May 2, 2019",Iowa,Firehouse Strategies Optimus,576,LV,C-,35,14,5,10,11,2,-1,-1,-1,3,-1,-1,-1,4,-1,5/2/2019,121,243,212,0,,,https://github.com/optimus-forecasting-and-polling/Firehouse-0ptimus-Dem-Primary-May-2019/blob/master/Firehouse_0ptimus_April_May_2019_Methodology_Statement.pdf
"Apr 30-May 2, 2019",New Hampshire,Firehouse Strategies Optimus,551,LV,C-,34,16,7,9,10,1,-1,-1,-1,3,-1,-1,-1,1,-1,5/2/2019,115,228,208,0,,,
"Apr 30-May 2, 2019",South Carolina,Firehouse Strategies Optimus,568,LV,C-,48,12,4,5,5,4,-1,-1,-1,1,-1,-1,-1,1,-1,5/2/2019,128,252,190,0,,,
"Apr 15-30, 2019",California,Capitol Weekly,"1,204",LV,-10,20,20,17,10,19,2,-1,-1,-1,4,-1,0,-1,3,-1,4/30/2019,,,,1,,,
"Apr 26-30, 2019",Virginia,Change Research,551,LV,C+,41,20,5,10,12,3,1,-1,0,4,0,2,0,1,-1,4/30/2019,,,,1,,,
"Apr 25-28, 2019",New Hampshire,Suffolk University,429,LV,B+,20,12,6,8,12,3,1,0,0,3,1,0,1,1,-1,4/28/2019,Unclear,Unclear,,0,,,
"Apr 25-28, 2019",Texas,Emerson College,342,LV,B+,23,17,3,7,8,1,3,-1,0,22,1,4,0,3,-1,4/28/2019,0,559,0,240,,,
"Apr 18-22, 2019",Texas,Change Research,"1,578",LV,C+,-1,23,8,5,21,4,0,-1,0,33,0,5,0,1,-1,4/22/2019,,,,1,,,
"Apr 18-22, 2019",Texas,Change Research,"1,578",LV,C+,20,19,5,5,15,2,1,-1,-1,25,-1,4,0,1,-1,4/22/2019,,,,1,,,
"Apr 17-18, 2019",Iowa,Gravis Marketing,590,LV,C+,19,19,6,6,14,4,1,-1,-1,5,2,0,1,4,-1,4/18/2019,Unclear,Unclear,,Unclear,,,
"Apr 10-18, 2019",New Hampshire,University of New Hampshire,241,LV,B,18,30,4,5,15,3,2,-1,0,3,0,0,1,2,-1,4/18/2019,193,48,,0,,,
"Apr 10-18, 2019",New Hampshire,University of New Hampshire,241,LV,B,12,18,4,3,11,3,0,-1,-1,3,0,-1,0,1,-1,4/18/2019,193,48,,0,,,
"Apr 15-18, 2019",Wisconsin,Zogby Interactive/JZ Analytics,485,LV,C,24,20,7,6,10,4,1,-1,-1,5,0,1,0,4,-1,4/18/2019,,,,1,,,
"Apr 3-10, 2019",Pennsylvania,Muhlenberg College,405,RV,A,28,16,8,8,4,3,-1,-1,-1,3,-1,-1,-1,3,-1,4/10/2019,247,158,,0,,,
"Apr 6-9, 2019",California,Change Research,"2,003",LV,C+,21,22,19,8,9,3,1,-1,0,10,0,2,1,1,-1,4/9/2019,,,,1,,,
"Apr 4-9, 2019",Iowa,Monmouth University,351,LV,A+,27,16,7,7,9,3,1,0,0,6,1,2,0,4,-1,4/9/2019,176,175,0,0,,,
"Apr 3-8, 2019",California,Quinnipiac University,482,RV,A-,26,18,17,7,7,2,1,-1,0,4,0,2,1,2,-1,4/8/2019,Unclear,Unclear,,0,,,
"Apr 3-8, 2019",New Hampshire,Saint Anselm College,326,LV,-10,23,16,7,9,11,4,-1,-1,-1,6,1,-1,1,2,-1,4/8/2019,Unclear,Unclear,,0,,,
"Apr 4-7, 2019",Massachusetts,Emerson College,371,LV,B+,23,26,7,14,11,2,1,-1,-1,8,1,1,1,2,-1,4/7/2019,0,545,0,216,,,
"Mar 31-Apr 4, 2019",South Carolina,Change Research,744,LV,C+,32,14,10,6,7,9,1,-1,0,9,0,1,0,1,-1,4/4/2019,,,,1,,,
"Mar 31-Apr 4, 2019",South Carolina,Change Research,744,LV,C+,-1,24,15,11,12,12,1,-1,0,16,1,2,0,2,-1,4/4/2019,,,,1,,,
"Mar 28-30, 2019",Nevada,Emerson College,310,LV,B+,26,23,9,10,5,2,3,-1,-1,10,-1,1,2,2,-1,3/30/2019,0,513,,216,,,
"Mar 26-28, 2019",Pennsylvania,Emerson College,359,LV,B+,39,20,5,11,6,4,1,-1,-1,5,-1,1,3,0,-1,3/28/2019,0,565,0,242,,,
"Mar 21-24, 2019",Iowa,David Binder Research,500,LV,-10,25,17,9,8,6,7,1,-1,0,6,3,1,1,6,-1,3/24/2019,Unclear,Unclear,,0,,,
"Mar 21-24, 2019",Iowa,Emerson College,249,LV,B+,25,24,10,9,11,6,0,-1,-1,5,-1,1,1,2,-1,3/24/2019,0,424,0,283,,,
"Mar 20-23, 2019",Alabama,Change Research,"1,200",LV,C+,42,13,12,6,3,9,1,0,0,10,0,1,0,1,-1,3/23/2019,,,,1,,,
21-Mar-19,Florida,Tel Opinion Research,800,LV,B,37,13,4,6,-1,2,-1,-1,-1,5,-1,-1,-1,1,-1,3/21/2019,Unclear,Unclear,,0,,,
"Mar 18-19, 2019",Oregon,Zogby Interactive/JZ Analytics,238,LV,C,26,27,6,6,3,4,4,-1,-1,8,1,-1,1,-1,-1,3/19/2019,,,,1,,,
"Mar 15-17, 2019",Wisconsin,Emerson College,324,LV,B+,24,39,5,14,1,2,1,-1,-1,6,-1,0,0,4,-1,3/17/2019,0,562,0,213,,,
"Mar 14-15, 2019",Iowa,Public Policy Polling*,678,LV,B,29,15,5,8,-1,4,-1,-1,-1,7,-1,-1,-1,6,-1,3/15/2019,Unclear,0,,Unclear,,,
"Mar 7-10, 2019",Michigan,Emerson College,317,LV,B+,40,23,12,11,0,3,-1,-1,-1,2,-1,0,0,5,-1,3/10/2019,0,520,0,223,,,
"Mar 3-6, 2019",Iowa,Selzer & Co.,401,LV,A+,27,25,7,9,1,3,0,0,0,5,1,1,0,3,-1,3/6/2019,Unclear,Unclear,,0,,,
"Mar 1-4, 2019",Florida,Bendixen & Amandi International,300,LV,B-,26,11,9,4,0,1,0,-1,-1,1,0,0,0,1,-1,3/4/2019,Unclear,Unclear,,0,,,
"Feb 28-Mar 2, 2019",South Carolina,Emerson College,291,LV,B+,37,21,9,5,0,6,-1,-1,-1,5,0,0,2,1,-1,3/2/2019,,423,,332,,,
